publication_date,article_count
2009-10-07,1
2009-10-09,1
2009-10-14,1
2009-11-04,1
2009-12-02,1
2009-12-04,1
2010-01-12,1
2010-01-18,1
2010-02-03,1
2010-02-16,1
2010-03-02,1
2010-03-16,1
2010-03-18,1
2010-04-01,2
2010-04-06,1
2010-04-12,2
2010-04-13,1
2010-04-14,1
2010-04-28,1
2010-05-04,1
2010-05-05,1
2010-05-11,1
2010-05-20,1
2010-06-07,1
2010-06-11,1
2010-06-21,1
2010-06-22,2
2010-07-06,1
2010-07-08,1
2010-07-09,2
2010-07-12,1
2010-07-13,8
2010-07-14,2
2010-07-15,1
2010-07-16,2
2010-07-23,1
2010-08-03,1
2010-08-11,2
2010-08-12,2
2010-08-16,1
2010-09-02,1
2010-09-20,3
2010-09-24,1
2010-09-28,1
2010-10-01,2
2010-10-04,1
2010-10-05,2
2010-10-06,1
2010-10-07,2
2010-10-08,4
2010-10-10,2
2010-10-11,1
2010-10-13,1
2010-10-15,2
2010-10-22,1
2010-11-01,1
2010-11-12,1
2010-11-22,1
2010-12-02,1
2010-12-27,1
2010-12-29,1
2011-01-03,2
2011-01-04,1
2011-01-05,1
2011-01-10,2
2011-01-11,4
2011-01-12,1
2011-01-20,2
2011-01-24,1
2011-02-01,1
2011-02-10,1
2011-02-11,1
2011-03-08,1
2011-03-09,1
2011-03-26,2
2011-03-31,1
2011-04-01,1
2011-04-08,2
2011-04-09,2
2011-04-11,3
2011-04-12,5
2011-04-13,3
2011-04-17,1
2011-04-20,2
2011-04-25,1
2011-04-27,1
2011-05-02,2
2011-05-03,1
2011-05-05,2
2011-05-17,1
2011-05-18,1
2011-05-20,1
2011-05-24,2
2011-05-25,2
2011-05-26,1
2011-06-02,2
2011-06-03,5
2011-06-21,1
2011-06-22,2
2011-06-23,1
2011-06-28,1
2011-06-30,1
2011-07-06,1
2011-07-08,3
2011-07-11,1
2011-07-12,3
2011-07-15,1
2011-07-18,1
2011-07-20,2
2011-07-25,2
2011-08-04,1
2011-08-15,1
2011-08-31,1
2011-09-09,1
2011-10-03,1
2011-10-06,1
2011-10-07,2
2011-10-11,3
2011-10-12,5
2011-11-18,4
2011-11-21,1
2011-11-23,1
2011-12-01,1
2011-12-02,1
2011-12-05,1
2011-12-14,1
2011-12-20,1
2011-12-29,1
2012-01-04,1
2012-01-05,3
2012-01-06,1
2012-01-09,8
2012-01-10,10
2012-01-11,1
2012-01-12,1
2012-01-13,1
2012-01-16,2
2012-01-17,1
2012-01-20,1
2012-01-26,2
2012-01-30,1
2012-02-01,1
2012-02-03,1
2012-02-07,1
2012-02-08,1
2012-02-09,1
2012-02-15,1
2012-02-16,1
2012-02-17,1
2012-02-22,1
2012-02-23,1
2012-03-02,1
2012-03-05,1
2012-03-06,1
2012-03-07,1
2012-03-09,1
2012-03-13,2
2012-03-15,2
2012-03-26,2
2012-03-29,1
2012-03-30,1
2012-03-31,1
2012-04-05,2
2012-04-06,3
2012-04-09,3
2012-04-10,6
2012-04-11,4
2012-04-12,4
2012-04-13,2
2012-04-20,1
2012-04-23,1
2012-04-30,1
2012-05-01,1
2012-05-02,2
2012-05-03,1
2012-05-09,1
2012-05-14,1
2012-05-16,1
2012-05-17,1
2012-05-22,2
2012-05-23,1
2012-05-25,2
2012-05-28,1
2012-05-29,1
2012-05-31,1
2012-06-01,1
2012-06-04,1
2012-06-05,1
2012-06-07,1
2012-06-14,2
2012-06-18,2
2012-06-21,3
2012-06-22,2
2012-06-25,2
2012-06-26,2
2012-06-27,1
2012-06-28,1
2012-06-29,3
2012-07-02,2
2012-07-03,3
2012-07-05,1
2012-07-09,6
2012-07-10,8
2012-07-12,2
2012-07-16,1
2012-07-17,1
2012-07-19,1
2012-07-20,2
2012-07-24,1
2012-07-25,1
2012-07-30,2
2012-08-02,1
2012-08-03,1
2012-08-06,1
2012-08-07,1
2012-08-10,1
2012-08-13,1
2012-08-14,1
2012-08-16,2
2012-08-23,1
2012-08-24,1
2012-08-28,2
2012-09-04,1
2012-09-10,2
2012-09-13,1
2012-09-14,2
2012-09-17,1
2012-09-18,5
2012-09-25,1
2012-09-27,2
2012-09-28,1
2012-10-02,2
2012-10-03,1
2012-10-05,2
2012-10-08,5
2012-10-09,7
2012-10-10,9
2012-10-11,7
2012-10-15,2
2012-10-16,2
2012-10-17,1
2012-10-18,1
2012-10-22,1
2012-11-05,1
2012-11-16,3
2012-11-26,1
2012-11-29,1
2012-12-03,2
2012-12-06,1
2012-12-09,1
2012-12-11,1
2012-12-14,2
2012-12-17,3
2012-12-24,3
2012-12-31,1
2013-01-04,2
2013-01-06,1
2013-01-07,5
2013-01-08,6
2013-01-09,7
2013-01-10,3
2013-01-11,2
2013-01-14,1
2013-01-15,1
2013-01-24,1
2013-01-28,3
2013-01-30,2
2013-01-31,1
2013-02-04,1
2013-02-07,1
2013-02-08,1
2013-02-14,4
2013-02-15,1
2013-02-19,2
2013-02-20,4
2013-02-25,1
2013-03-04,2
2013-03-11,1
2013-03-12,1
2013-03-18,1
2013-03-22,1
2013-03-25,1
2013-04-01,1
2013-04-04,2
2013-04-05,1
2013-04-07,1
2013-04-08,7
2013-04-09,4
2013-04-10,1
2013-04-12,1
2013-04-16,2
2013-04-23,1
2013-04-26,2
2013-05-02,1
2013-05-07,1
2013-05-12,1
2013-05-13,1
2013-05-16,1
2013-05-17,1
2013-05-20,2
2013-05-23,2
2013-05-24,1
2013-05-29,1
2013-05-30,2
2013-05-31,1
2013-06-04,2
2013-06-12,1
2013-06-14,1
2013-06-20,2
2013-06-21,1
2013-06-24,1
2013-06-25,2
2013-06-28,1
2013-07-01,1
2013-07-02,1
2013-07-03,4
2013-07-05,5
2013-07-08,13
2013-07-09,7
2013-07-10,4
2013-07-11,1
2013-07-16,1
2013-07-19,1
2013-07-30,1
2013-07-31,1
2013-08-02,1
2013-08-06,1
2013-08-09,1
2013-08-13,1
2013-08-15,1
2013-08-16,1
2013-08-21,2
2013-08-22,1
2013-08-27,1
2013-08-30,2
2013-09-03,1
2013-09-04,2
2013-09-05,2
2013-09-06,1
2013-09-10,5
2013-09-11,2
2013-09-12,2
2013-09-13,4
2013-09-16,1
2013-09-17,1
2013-09-18,3
2013-09-19,1
2013-09-24,1
2013-09-25,1
2013-10-02,1
2013-10-03,1
2013-10-04,2
2013-10-07,5
2013-10-08,13
2013-10-09,6
2013-10-10,1
2013-10-11,1
2013-10-15,1
2013-10-17,1
2013-10-21,1
2013-10-23,1
2013-10-28,1
2013-10-29,1
2013-10-30,1
2013-11-05,2
2013-11-06,1
2013-11-07,1
2013-11-09,1
2013-11-11,2
2013-11-12,1
2013-11-13,1
2013-11-25,3
2013-12-06,2
2013-12-09,1
2013-12-11,1
2013-12-13,1
2013-12-17,2
2013-12-19,2
2013-12-20,1
2013-12-23,1
2013-12-24,1
2013-12-26,1
2013-12-30,1
2014-01-02,1
2014-01-03,2
2014-01-07,1
2014-01-08,3
2014-01-09,7
2014-01-10,4
2014-01-13,3
2014-01-14,2
2014-01-15,1
2014-01-16,1
2014-01-21,2
2014-01-22,4
2014-01-23,3
2014-01-24,2
2014-01-27,1
2014-01-28,2
2014-01-30,1
2014-02-18,1
2014-02-19,1
2014-02-24,1
2014-02-25,2
2014-02-26,2
2014-03-05,1
2014-03-10,1
2014-03-12,1
2014-03-13,1
2014-03-14,1
2014-03-17,1
2014-03-18,1
2014-03-20,2
2014-03-25,2
2014-03-27,1
2014-03-28,3
2014-03-31,2
2014-04-02,2
2014-04-03,2
2014-04-04,1
2014-04-07,6
2014-04-08,11
2014-04-09,10
2014-04-10,3
2014-04-11,1
2014-04-14,1
2014-04-15,1
2014-04-16,1
2014-04-17,2
2014-04-21,2
2014-04-25,1
2014-05-07,1
2014-06-04,1
2014-07-30,1
2014-09-04,1
2014-09-23,1
2014-09-25,1
2014-10-29,1
2014-12-05,1
2014-12-12,1
2015-02-10,1
2015-03-05,1
2015-03-24,1
2015-03-26,1
2015-06-04,1
2015-06-23,1
2015-06-25,1
2015-09-03,1
2015-09-22,1
2015-09-25,1
2015-12-07,1
2015-12-28,2
2016-03-17,1
2016-06-21,1
2016-06-24,2
2016-08-10,1
2016-08-31,1
2016-09-12,1
2016-09-14,1
2017-01-04,1
2017-01-31,1
2017-02-17,1
2017-02-20,1
2017-02-28,1
2017-03-08,1
2017-03-31,1
2017-05-03,1
2017-05-31,1
2017-06-22,1
2017-08-09,1
2017-09-15,1
2017-11-15,1
2017-12-26,1
2018-04-26,1
2018-05-29,1
2018-08-23,1
2018-09-05,2
2018-09-28,1
2018-10-04,1
2018-10-05,1
2018-10-18,1
2018-10-25,1
2018-10-26,1
2018-11-09,1
2018-11-14,1
2018-11-26,1
2018-12-13,1
2019-01-08,1
2019-01-16,1
2019-01-30,1
2019-03-07,1
2019-04-09,1
2019-04-10,2
2019-04-11,2
2019-04-12,1
2019-04-15,2
2019-04-24,1
2019-05-07,1
2020-02-25,1
2020-08-05,2
2020-08-06,3
2020-08-10,1
2020-08-12,1
2020-08-13,1
2020-08-14,1
2020-08-16,1
2020-09-07,1
2020-09-21,1
2020-09-23,1
2020-09-24,1
2020-10-09,3
2020-10-13,1
2020-10-14,4
2020-10-15,2
2020-10-21,1
2020-10-22,1
2020-10-27,1
2020-10-28,1
2020-11-30,1
2020-12-01,2
2020-12-03,1
2020-12-04,1
2020-12-08,1
2020-12-11,1
2020-12-15,1
2020-12-30,1
2020-12-31,1
2021-01-05,1
2021-01-07,1
2021-01-20,3
2021-01-21,3
2021-01-22,1
2021-01-26,1
2021-01-28,1
2021-02-04,4
2021-02-11,2
2021-02-19,1
2021-02-21,1
2021-03-03,2
2021-03-04,1
2021-03-05,1
2021-03-11,1
2021-03-17,1
2021-03-18,3
2021-03-23,1
2021-03-24,1
2021-03-25,1
2021-03-26,3
2021-03-29,1
2021-03-30,1
2021-04-01,2
2021-04-05,1
2021-04-06,2
2021-04-08,1
2021-04-09,1
2021-04-11,1
2021-04-14,2
2021-04-15,5
2021-04-16,2
2021-04-19,1
2021-04-21,1
2021-04-29,1
2021-04-30,2
2021-05-10,4
2021-05-12,1
2021-05-13,1
2021-05-20,2
2021-05-27,1
2021-05-28,1
2021-05-30,1
2021-06-01,1
2021-06-04,1
2021-06-06,1
2021-06-10,2
2021-06-15,1
2021-06-17,1
2021-06-18,2
2021-06-21,1
2021-06-22,1
2021-06-23,1
2021-06-30,1
2021-07-11,1
2021-07-12,1
2021-07-14,1
2021-07-15,4
2021-07-16,3
2021-07-19,1
2021-07-20,1
2021-07-22,1
2021-07-23,2
2021-07-25,1
2021-07-26,1
2021-08-02,1
2021-08-04,1
2021-08-05,1
2021-08-06,2
2021-08-12,1
2021-08-19,1
2021-08-20,3
2021-08-22,1
2021-08-23,1
2021-08-27,1
2021-09-08,2
2021-09-10,2
2021-09-13,1
2021-09-15,1
2021-09-16,1
2021-09-20,2
2021-09-21,3
2021-09-22,1
2021-09-23,4
2021-09-27,1
2021-09-30,2
2021-10-05,3
2021-10-06,2
2021-10-08,1
2021-10-10,1
2021-10-13,1
2021-10-14,4
2021-10-15,3
2021-10-16,1
2021-10-19,1
2021-10-21,1
2021-10-22,2
2021-10-26,1
2021-10-27,1
2021-11-07,2
2021-11-11,1
2021-11-15,1
2021-11-17,3
2021-11-24,1
2021-11-25,1
2021-11-30,1
2021-12-01,2
2021-12-02,1
2021-12-06,1
2021-12-10,1
2021-12-11,1
2021-12-15,2
2021-12-16,1
2021-12-17,2
2021-12-21,2
2021-12-23,1
2021-12-24,1
2021-12-27,1
2021-12-29,4
2021-12-30,4
2022-01-04,2
2022-01-05,4
2022-01-06,3
2022-01-11,1
2022-01-12,2
2022-01-14,2
2022-01-16,1
2022-01-19,6
2022-01-20,2
2022-01-21,1
2022-01-24,3
2022-01-25,1
2022-01-27,1
2022-02-04,1
2022-02-08,1
2022-02-11,4
2022-02-12,1
2022-02-14,2
2022-02-16,4
2022-02-17,2
2022-02-18,2
2022-02-23,3
2022-02-24,4
2022-03-01,2
2022-03-02,2
2022-03-03,4
2022-03-04,6
2022-03-07,3
2022-03-09,1
2022-03-11,3
2022-03-14,2
2022-03-15,2
2022-03-17,3
2022-03-21,6
2022-03-22,5
2022-03-24,3
2022-03-28,2
2022-03-29,2
2022-03-30,2
2022-04-04,1
2022-04-05,2
2022-04-06,2
2022-04-07,2
2022-04-08,2
2022-04-11,2
2022-04-12,1
2022-04-13,3
2022-04-14,3
2022-04-17,1
2022-04-18,3
2022-04-19,1
2022-04-20,6
2022-04-21,5
2022-04-22,4
2022-04-25,4
2022-04-26,5
2022-04-27,2
2022-04-28,2
2022-04-29,4
2022-05-02,2
2022-05-03,4
2022-05-04,6
2022-05-05,1
2022-05-06,1
2022-05-09,2
2022-05-10,5
2022-05-11,2
2022-05-12,2
2022-05-13,1
2022-05-16,1
2022-05-17,1
2022-05-18,1
2022-05-23,1
2022-05-24,2
2022-05-25,1
2022-05-26,2
2022-05-31,1
2022-06-01,1
2022-06-09,3
2022-06-10,1
2022-06-11,1
2022-06-13,2
2022-06-15,2
2022-06-20,1
2022-06-22,1
2022-06-24,2
2022-06-26,1
2022-06-29,1
2022-06-30,1
2022-07-01,1
2022-07-05,4
2022-07-06,2
2022-07-07,1
2022-07-08,1
2022-07-11,2
2022-07-12,2
2022-07-13,1
2022-07-14,1
2022-07-17,1
2022-07-20,5
2022-07-21,2
2022-07-22,3
2022-07-24,2
2022-07-25,1
2022-07-28,1
2022-08-03,1
2022-08-04,1
2022-08-08,1
2022-08-10,2
2022-08-11,1
2022-08-14,1
2022-08-16,1
2022-08-18,2
2022-08-21,1
2022-08-22,2
2022-08-23,1
2022-08-24,3
2022-08-25,1
2022-08-30,5
2022-09-01,1
2022-09-02,2
2022-09-06,1
2022-09-07,3
2022-09-09,2
2022-09-11,1
2022-09-14,1
2022-09-15,2
2022-09-16,3
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,1
2022-09-27,1
2022-09-28,1
