term,score
alcoa,0.03308220901278552
earnings,0.027282946847934662
aa,0.025582996612326377
stock,0.02112184382378732
stocks,0.021086138352946503
market,0.020353232398783765
analyst,0.015530223556378214
analyst blog,0.014496290669116809
blog,0.014496290669116809
alcoa aa,0.013962909710146786
airlines,0.012661153481444908
agilent,0.011928484769060308
aal,0.010814826915315488
estimates,0.010673329435304826
american,0.010586038602410378
news,0.01029313938005024
buy,0.009805997459126577
report,0.009631864561966953
technologies,0.009552493311832078
know,0.009371495482755121
